item,itemLabel,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q106548351,Wando Borges Castro De Andrade,Q114667925,"Minister of the Presidency of the Council of Ministers, New Technologies and Parliamentary Affairs",2018-12-03,,556,,Q106548351-25A318F4-769A-4712-8E43-392807E3063F
Q106904935,Jorge Amado,Q114667368,Minister of National Defence,2022-02-02,,,,Q106904935-346E2D4B-CEB8-4173-8339-B56CEBA46869
Q114668023,Adlander Costa De Matos,Q114667929,"Minister of Labour, Solidarity, Families and Vocational Training",2018-12-03,,556,,Q114668023-B6C10BB9-24C8-4C0D-B7D0-0F66F0DB9A64
Q114668025,Engrácio Do Sacramento Soares Da Graça,Q114667922,"Minister of Planning, Finance and the Blue Economy",2021-10-13,,556,,Q114668025-21DF88B8-65C0-4035-8937-EB884349F9A2
Q114668026,Ernestino Jesus Da Costa Gomes,Q114667932,"Secretary of State for Public Works, Environment",2022-02-02,,556,,Q114668026-FAF18F5B-CE59-41CB-B008-B00D6BC17587
Q114668027,Eugénio António Da Graça,Q114667941,Secretary of State for Trade and Industry,2018-12-03,,556,,Q114668027-EBAB0BC0-8560-4A26-83FF-E698B6C2E8D7
Q114668028,Filomena Santana Monteiro,Q112625076,Minister of Health,2022-02-02,,556,,Q114668028-BCEDAC52-A198-40A1-842F-CD61B3441A59
Q114668029,Francisco Martins Dos Ramos,Q114667916,"Minister of Agriculture, Fisheries and Rural Development",2018-12-03,,556,,Q114668029-9E28FFC0-503C-49BE-B3DE-D749B7A88DC4
Q114668030,Julieta Izidro Rodrigues,Q114667918,Minister of Education and Higher Education,2018-12-03,,556,,Q114668030-EAA7E57E-913F-4130-A911-D1952E982FA7
Q114668033,Vinicius Xavier De Pina,Q114667920,"Minister of Youth, Sport and Entrepreneurship",2018-12-03,,556,,Q114668033-2CBB53FF-943F-4D74-8502-8A8987243D95
Q30118193,Osvaldo Viegas D’Abreu,Q114667927,Minister of Infrastructure and Natural Resources,2018-12-03,,556,,Q30118193-ECFC7B45-DB76-4EF2-9203-18A97C17A3F1
Q4681971,Adelino Lucas,Q114667936,Secretary of State for Social Communication,2018-12-03,,,,Q4681971-70FCB1C8-1718-4877-BD64-FCF4AAB34670
Q57085436,Jorge Bom Jesus,Q20551579,Prime Minister,2018-12-03,,556,,Q57085436-dabca941-4156-4032-afe3-44b58e423b09
Q99510744,Edite Do Ramos Da Costa Ten Jua,Q976210,"Minister of Foreign Affairs, Co-operation and Communities",2020-09-19,,556,,Q99510744-266a57c1-4a38-2fbd-5604-3077ffdf01ba
Q99511621,Cilcio Pires Dos Santos,Q114667375,"Minister of Justice, Internal Administration and Human Rights",2022-02-02,,556,,Q99511621-F109C8AC-6E6B-40C8-819D-DD76500AAFCB
Q99520496,Aerton Do Rosário Crisóstemo,Q114667928,Minister of Tourism and Culture,2020-09-19,,556,,Q99520496-fb36f880-4512-4793-9986-ff056581397f
